	AC010789.1	MIS18A-AS1	LINC00659	LINC02575	LINC00486	MIR205HG	LINC01436	MIR4280HG	LINC01115	LINC02428	AC226118.1	PURPL	MIR3142HG	LINC01300	PKIA-AS1	LINC02688	AC016705.1	AL035425.3	NFE2L1-DT	LINC02675	LINC00668	FENDRR	AC132192.2	AC010359.2	AC099343.2	AL353708.3	AP001412.1	AL355512.1	PICSAR	AC092117.1	AL139123.1	AC087239.1	AC207130.1	AL358777.3	AC211476.6	AC133530.1	AL513128.3	AC053545.1	state
tm79	0	9	2	3	0	57	35	56	0	0	46	4	22	3	3	715	2	3	34	1	2	49	39	17	30	13	4	1	79	59	3	14	0	21	5	116	14	5	1
tm80	0	5	137	0	0	19	232	5	1	0	17	0	60	4	3	194	1	0	35	1	246	191	54	10	23	17	8	2	4	43	8	16	1	10	7	16	7	10	1
tm81	63	8	11	252	0	35	15	9	1	0	12	3	98	27	2	18	0	1	8	1	0	128	21	10	16	5	4	1	48	73	6	15	0	17	2	134	12	4	1
tm82	1	2	11	6	0	47	16	12	63	0	1	2	230	11	1	136	1	6	27	3	0	158	38	11	19	24	4	3	2	40	8	2	0	11	1	2	8	15	1
tm83	16	9	15	23	0	1	19	4	0	8	5	2	62	0	2	28	0	4	21	6	18	111	17	9	9	7	2	2	7	36	4	6	0	14	6	1	8	14	1
tm84	0	7	19	2	4	16	11	9	2	1	10	8	39	7	1	602	1	5	7	2	2	168	26	10	11	8	4	0	3	38	16	6	3	15	4	27	15	19	1
tm85	0	14	37	3	4	1134	53	18	19	1	4	38	38	28	8	1814	3	2	17	1	0	70	50	18	21	19	6	6	10	118	10	17	0	21	9	5	9	26	1
tm86	2	8	40	12	19	13	17	13	0	28	5	2	161	0	3	92	2	3	26	2	1	165	34	5	9	14	2	8	65	44	8	11	2	22	7	0	8	2	1
tm87	1	7	78	1	88	10	6	55	0	4	0	3	79	15	3	188	2	0	38	0	0	42	56	9	30	14	7	4	7	70	6	31	0	11	11	94	36	1	1
tm88	0	14	47	3	0	2	175	13	0	3	5	2	37	146	9	42	0	0	11	1	1	505	8	10	5	11	0	0	3	91	2	4	0	9	1	1	10	0	1
tm89	0	11	71	13	1	0	19	79	0	1	3	8	107	23	7	47	1	9	22	0	0	115	45	12	15	19	8	5	6	53	17	18	1	5	5	3	25	0	1
